"seller","day_of_week","income"
Abraham Bennet,Monday,231845241.3400
Abraham Bennet,Tuesday,259058032.0000
Abraham Bennet,Wednesday,214842815.3000
Abraham Bennet,Thursday,226133920.5000
Abraham Bennet,Friday,233935361.3500
Abraham Bennet,Saturday,219357051.0200
Abraham Bennet,Sunday,232328748.4800
Albert Ringer,Monday,392378037.8600
Albert Ringer,Tuesday,419021705.1600
Albert Ringer,Wednesday,403718425.1600
Albert Ringer,Thursday,405676715.4100
Albert Ringer,Friday,357492148.6500
Albert Ringer,Saturday,359055422.1300
Albert Ringer,Sunday,362985486.8200
Ann Dull,Monday,39656842.3500
Ann Dull,Tuesday,38097807.8000
Ann Dull,Wednesday,35589006.4200
Ann Dull,Thursday,36627441.5200
Ann Dull,Friday,37433122.4500
Ann Dull,Saturday,37658782.2000
Ann Dull,Sunday,34138287.6000
Anne Ringer,Monday,53386960.6000
Anne Ringer,Tuesday,55417862.2000
Anne Ringer,Wednesday,46106241.4000
Anne Ringer,Thursday,55678731.2000
Anne Ringer,Friday,51753352.0000
Anne Ringer,Saturday,48579237.8000
Anne Ringer,Sunday,49050828.6000
Burt Gringlesby,Monday,118429815.2000
Burt Gringlesby,Tuesday,114454017.6000
Burt Gringlesby,Wednesday,119047498.4000
Burt Gringlesby,Thursday,103250742.4000
Burt Gringlesby,Friday,109360163.2000
Burt Gringlesby,Saturday,108212068.8000
Burt Gringlesby,Sunday,112782280.8000
Charlene Locksley,Monday,108450662.5500
Charlene Locksley,Tuesday,102419645.5500
Charlene Locksley,Wednesday,106731411.4200
Charlene Locksley,Thursday,102081557.7600
Charlene Locksley,Friday,97761374.7300
Charlene Locksley,Saturday,100507641.6000
Charlene Locksley,Sunday,93745116.8100
Cheryl Carson,Monday,77977656.8600
Cheryl Carson,Tuesday,76905547.4200
Cheryl Carson,Wednesday,66729906.7200
Cheryl Carson,Thursday,70730736.4800
Cheryl Carson,Friday,80473505.4800
Cheryl Carson,Saturday,69224918.3000
Cheryl Carson,Sunday,69553595.9000
Dean Straight,Monday,192550177.1200
Dean Straight,Tuesday,183459091.6000
Dean Straight,Wednesday,168092851.5600
Dean Straight,Thursday,182913507.5200
Dean Straight,Friday,176048824.5000
Dean Straight,Saturday,176094743.9600
Dean Straight,Sunday,176873005.8400
Dirk Stringer,Monday,759341454.3000
Dirk Stringer,Tuesday,734550037.6500
Dirk Stringer,Wednesday,642376642.0500
Dirk Stringer,Thursday,693463720.9500
Dirk Stringer,Friday,672023523.6000
Dirk Stringer,Saturday,724561952.4000
Dirk Stringer,Sunday,698820601.0500
Heather McBadden,Monday,293014643.0700
Heather McBadden,Tuesday,267891418.3100
Heather McBadden,Wednesday,249479672.1600
Heather McBadden,Thursday,289587875.5200
Heather McBadden,Friday,245868793.8900
Heather McBadden,Saturday,260891531.1600
Heather McBadden,Sunday,266458384.8000
Innes del Castillo,Monday,260992756.1400
Innes del Castillo,Tuesday,285473369.3100
Innes del Castillo,Wednesday,245730067.8000
Innes del Castillo,Thursday,247744631.4600
Innes del Castillo,Friday,231816497.7300
Innes del Castillo,Saturday,245765313.3300
Innes del Castillo,Sunday,244679491.9500
Johnson White,Monday,98560781.8400
Johnson White,Tuesday,100275590.0450
Johnson White,Wednesday,89036568.5450
Johnson White,Thursday,91715664.7100
Johnson White,Friday,91757929.8700
