"seller","day_of_week","income"
Aaron Alexander,Monday,2734.4000
Aaron Alexander,Tuesday,3520.0000
Aaron Alexander,Wednesday,2428.8000
Aaron Alexander,Thursday,2798.4000
Aaron Alexander,Friday,2657.6000
Aaron Alexander,Saturday,2710.4000
Aaron Alexander,Sunday,2480.0000
Abigail Flores,Monday,23142138.1800
Abigail Flores,Tuesday,21825997.6200
Abigail Flores,Wednesday,20838892.2000
Abigail Flores,Thursday,21387284.1000
Abigail Flores,Friday,22374389.5200
Abigail Flores,Saturday,22922781.4200
Abigail Flores,Sunday,20071143.5400
Abigail Wood,Monday,23592205.0000
Abigail Wood,Tuesday,23592205.0000
Abigail Wood,Wednesday,26962520.0000
Abigail Wood,Thursday,26625488.5000
Abigail Wood,Friday,18199701.0000
Abigail Wood,Saturday,21232984.5000
Abigail Wood,Sunday,23592205.0000
Adriana Vance,Monday,4216000.0000
Adriana Vance,Tuesday,3710080.0000
Adriana Vance,Wednesday,1855040.0000
Adriana Vance,Thursday,3541440.0000
Adriana Vance,Friday,2698240.0000
Adriana Vance,Saturday,2192320.0000
Adriana Vance,Sunday,2192320.0000
Adrienne Jiménez,Monday,1819927.0700
Adrienne Jiménez,Tuesday,5459781.2100
Adrienne Jiménez,Wednesday,1819927.0700
Adrienne Jiménez,Thursday,1819927.0700
Adrienne Jiménez,Friday,7279708.2800
Adrienne Jiménez,Saturday,7279708.2800
Adrienne Jiménez,Sunday,5459781.2100
Alberto Ramos,Monday,65200538.4000
Alberto Ramos,Tuesday,50196230.4000
Alberto Ramos,Wednesday,47468174.4000
Alberto Ramos,Thursday,50741841.6000
Alberto Ramos,Friday,58926009.6000
Alberto Ramos,Saturday,55379536.8000
Alberto Ramos,Sunday,48286591.2000
Alexandra Alexander,Monday,6531074.5500
Alexandra Alexander,Tuesday,7982424.4500
Alexandra Alexander,Wednesday,7982424.4500
Alexandra Alexander,Thursday,6531074.5500
Alexandra Alexander,Friday,6531074.5500
Alexandra Alexander,Saturday,2902699.8000
Alexandra Alexander,Sunday,5079724.6500
Alexandria Peterson,Monday,11189776.3900
Alexandria Peterson,Tuesday,10329024.3600
Alexandria Peterson,Wednesday,16354288.5700
Alexandria Peterson,Thursday,8607520.3000
Alexandria Peterson,Friday,9468272.3300
Alexandria Peterson,Saturday,12050528.4200
Alexandria Peterson,Sunday,19797296.6900
Alexis Hall,Monday,7178420.0000
Alexis Hall,Tuesday,5976452.0000
Alexis Hall,Wednesday,7445524.0000
Alexis Hall,Thursday,6610824.0000
Alexis Hall,Friday,6176780.0000
Alexis Hall,Saturday,6577436.0000
Alexis Hall,Sunday,6276944.0000
Alexis Wilson,Monday,109728.0000
Alexis Wilson,Tuesday,100584.0000
Alexis Wilson,Wednesday,73152.0000
Alexis Wilson,Thursday,64008.0000
Alexis Wilson,Friday,45720.0000
Alexis Wilson,Saturday,64008.0000
Alexis Wilson,Sunday,64008.0000
Alicia Chapman,Monday,3359206.5000
Alicia Chapman,Tuesday,2821733.4600
Alicia Chapman,Wednesday,1881155.6400
Alicia Chapman,Thursday,2418628.6800
Alicia Chapman,Friday,2418628.6800
Alicia Chapman,Saturday,2687365.2000
Alicia Chapman,Sunday,1881155.6400
Alison Lal,Monday,336357.7000
Alison Lal,Tuesday,480511.0000
Alison Lal,Wednesday,288306.6000
Alison Lal,Thursday,288306.6000
Alison Lal,Friday,528562.1000
Alison Lal,Saturday,528562.1000
Alison Lal,Sunday,384408.8000
Allison Allen,Monday,563295.0300
Allison Allen,Tuesday,563295.0300
Allison Allen,Wednesday,1126590.0600
Allison Allen,Thursday,1689885.0900
Allison Allen,Friday,563295.0300
Allison Allen,Saturday,563295.0300
Allison Allen,Sunday,2253180.1200
Alvin Zhao,Monday,4051212.0000
Alvin Zhao,Tuesday,2946336.0000
Alvin Zhao,Wednesday,4787796.0000
Alvin Zhao,Thursday,2578044.0000
Alvin Zhao,Friday,2209752.0000
Alvin Zhao,Saturday,2209752.0000
Alvin Zhao,Sunday,2946336.0000
Alvin Zheng,Monday,6226260.0000
Alvin Zheng,Tuesday,7795480.0000
Alvin Zheng,Wednesday,5618820.0000
Alvin Zheng,Thursday,6023780.0000
Alvin Zheng,Friday,7339900.0000
Alvin Zheng,Saturday,6479360.0000
Alvin Zheng,Sunday,5922540.0000
Amanda Bennett,Monday,18137040.4800
Amanda Bennett,Tuesday,18640847.1600
Amanda Bennett,Wednesday,16121813.7600
Amanda Bennett,Thursday,16625620.4400
Amanda Bennett,Friday,19396557.1800
Amanda Bennett,Saturday,15869910.4200
Amanda Bennett,Sunday,16625620.4400
Andrew Hill,Monday,7581.6000
Andrew Hill,Tuesday,19375.2000
Andrew Hill,Wednesday,19375.2000
Andrew Hill,Thursday,12636.0000
Andrew Hill,Friday,11793.6000
Andrew Hill,Saturday,16848.0000
Andrew Hill,Sunday,14320.8000
Angel Phillips,Monday,133857.1500
Angel Phillips,Tuesday,294485.7300
Angel Phillips,Wednesday,240942.8700
Angel Phillips,Thursday,187400.0100
Angel Phillips,Friday,294485.7300
Angel Phillips,Saturday,133857.1500
Angel Phillips,Sunday,214171.4400
Angelica Alexander,Monday,1750102.4000
Angelica Alexander,Tuesday,1647155.2000
Angelica Alexander,Wednesday,1544208.0000
Angelica Alexander,Thursday,1750102.4000
Angelica Alexander,Friday,2058944.0000
Angelica Alexander,Saturday,1955996.8000
Angelica Alexander,Sunday,1750102.4000
Ann Gonzalez,Monday,42875346.4000
Ann Gonzalez,Tuesday,41257408.8000
Ann Gonzalez,Wednesday,36605838.2000
Ann Gonzalez,Thursday,43684315.2000
Ann Gonzalez,Friday,38628260.2000
Ann Gonzalez,Saturday,38223775.8000
Ann Gonzalez,Sunday,37617049.2000
Annette Hill,Monday,692464.5000
Annette Hill,Tuesday,846345.5000
Annette Hill,Wednesday,384702.5000
Annette Hill,Thursday,923286.0000
Annette Hill,Friday,769405.0000
Annette Hill,Saturday,230821.5000
Annette Hill,Sunday,692464.5000
Arianna Bell,Monday,54816720.0000
Arianna Bell,Tuesday,54816720.0000
Arianna Bell,Wednesday,46202664.0000
Arianna Bell,Thursday,45680600.0000
Arianna Bell,Friday,57166008.0000
Arianna Bell,Saturday,45941632.0000
Arianna Bell,Sunday,51684336.0000
Arianna Richardson,Monday,929376.0000
Arianna Richardson,Tuesday,697032.0000
Arianna Richardson,Wednesday,929376.0000
Arianna Richardson,Thursday,1277892.0000
Arianna Richardson,Friday,580860.0000
Arianna Richardson,Saturday,929376.0000
Arianna Richardson,Sunday,1277892.0000
Audrey Diaz,Monday,1977458.0800
Audrey Diaz,Tuesday,3213369.3800
Audrey Diaz,Wednesday,1235911.3000
Audrey Diaz,Thursday,3213369.3800
Audrey Diaz,Friday,988729.0400
Audrey Diaz,Saturday,1730275.8200
Audrey Diaz,Sunday,2224640.3400
Austin Jai,Monday,13613953.5000
Austin Jai,Tuesday,20874728.7000
Austin Jai,Wednesday,20874728.7000
Austin Jai,Thursday,15429147.3000
Austin Jai,Friday,14521550.4000
Austin Jai,Saturday,11798759.7000
Austin Jai,Sunday,11798759.7000
Austin Zhang,Monday,27311.6200
Austin Zhang,Tuesday,35114.9400
Austin Zhang,Wednesday,48770.7500
Austin Zhang,Thursday,35114.9400
Austin Zhang,Friday,39016.6000
Austin Zhang,Saturday,40967.4300
Austin Zhang,Sunday,31213.2800
Barbara Lin,Monday,75923371.2600
Barbara Lin,Tuesday,86660009.6200
Barbara Lin,Wednesday,67487441.1200
Barbara Lin,Thursday,72472308.9300
Barbara Lin,Friday,79374433.5900
Barbara Lin,Saturday,72472308.9300
Barbara Lin,Sunday,76306822.6300
Blake Long,Monday,87365.0400
Blake Long,Tuesday,76444.4100
Blake Long,Wednesday,109206.3000
Blake Long,Thursday,98285.6700
Blake Long,Friday,109206.3000
Blake Long,Saturday,76444.4100
Blake Long,Sunday,87365.0400
Brad Goel,Monday,60935347.2000
Brad Goel,Tuesday,57712804.8000
Brad Goel,Wednesday,62400139.2000
Brad Goel,Thursday,57419846.4000
Brad Goel,Friday,57419846.4000
Brad Goel,Saturday,60349430.4000
Brad Goel,Sunday,49509969.6000
Brad Nath,Monday,1180480.0000
Brad Nath,Tuesday,1855040.0000
Brad Nath,Wednesday,843200.0000
Brad Nath,Thursday,1855040.0000
Brad Nath,Friday,674560.0000
Brad Nath,Saturday,1686400.0000
Brad Nath,Sunday,1686400.0000
Brandon Harris,Monday,263020.8000
Brandon Harris,Tuesday,361653.6000
Brandon Harris,Wednesday,263020.8000
Brandon Harris,Thursday,263020.8000
Brandon Harris,Friday,345214.8000
Brandon Harris,Saturday,213704.4000
Brandon Harris,Sunday,263020.8000
Bridget Chande,Monday,833191.5900
Bridget Chande,Tuesday,779088.2400
Bridget Chande,Wednesday,800729.5800
Bridget Chande,Thursday,584316.1800
Bridget Chande,Friday,735805.5600
Bridget Chande,Saturday,833191.5900
Bridget Chande,Sunday,681702.2100
Caitlin Howard,Monday,150768.0000
Caitlin Howard,Tuesday,288972.0000
Caitlin Howard,Wednesday,263844.0000
Caitlin Howard,Thursday,351792.0000
Caitlin Howard,Friday,188460.0000
Caitlin Howard,Saturday,201024.0000
Caitlin Howard,Sunday,150768.0000
Caleb Campbell,Monday,1923432.0000
Caleb Campbell,Tuesday,1914272.8000
Caleb Campbell,Wednesday,1795203.2000
Caleb Campbell,Thursday,1703611.2000
Caleb Campbell,Friday,1740248.0000
Caleb Campbell,Saturday,1749407.2000
Caleb Campbell,Sunday,1767725.6000
Caleb Li,Monday,1206128.0000
Caleb Li,Tuesday,877184.0000
Caleb Li,Wednesday,932008.0000
Caleb Li,Thursday,712712.0000
Caleb Li,Friday,1041656.0000
Caleb Li,Saturday,822360.0000
Caleb Li,Sunday,1151304.0000
Caleb Patterson,Monday,228051505.8500
Caleb Patterson,Tuesday,199127900.2300
Caleb Patterson,Wednesday,208027471.1900
Caleb Patterson,Thursday,216927042.1500
Caleb Patterson,Friday,225826613.1100
Caleb Patterson,Saturday,244738201.4000
Caleb Patterson,Sunday,224714166.7400
Carla Gonzalez,Monday,232681.8000
Carla Gonzalez,Tuesday,232681.8000
Carla Gonzalez,Thursday,155121.2000
Carla Gonzalez,Friday,77560.6000
Carla Gonzalez,Saturday,387803.0000
Carla Gonzalez,Sunday,155121.2000
Carlos Howard,Monday,1375999.3800
Carlos Howard,Tuesday,1496126.3100
Carlos Howard,Wednesday,1332316.8600
Carlos Howard,Thursday,1452443.7900
Carlos Howard,Friday,1452443.7900
Carlos Howard,Saturday,1255872.4500
Carlos Howard,Sunday,1397840.6400
Caroline Butler,Monday,8504974.8000
Caroline Butler,Tuesday,13229960.8000
Caroline Butler,Wednesday,6614980.4000
Caroline Butler,Thursday,6614980.4000
Caroline Butler,Friday,11339966.4000
Caroline Butler,Saturday,5669983.2000
Caroline Butler,Sunday,3779988.8000
Cassandra Madan,Monday,1257156.1600
Cassandra Madan,Tuesday,1178583.9000
Cassandra Madan,Wednesday,942867.1200
Cassandra Madan,Thursday,1414300.6800
Cassandra Madan,Friday,1335728.4200
Cassandra Madan,Saturday,942867.1200
Cassandra Madan,Sunday,1257156.1600
Catherine Murphy,Monday,2437416.0000
Catherine Murphy,Tuesday,2550492.0000
Catherine Murphy,Wednesday,2349468.0000
Catherine Murphy,Thursday,2462544.0000
Catherine Murphy,Friday,2462544.0000
Catherine Murphy,Saturday,2588184.0000
Catherine Murphy,Sunday,2525364.0000
Catherine Sanders,Monday,665226.0000
Catherine Sanders,Tuesday,388048.5000
Catherine Sanders,Wednesday,332613.0000
Catherine Sanders,Thursday,332613.0000
Catherine Sanders,Friday,388048.5000
Catherine Sanders,Saturday,831532.5000
Catherine Sanders,Sunday,277177.5000
Cedric Ma,Monday,2264392.1600
Cedric Ma,Tuesday,1415245.1000
Cedric Ma,Wednesday,919909.3150
Cedric Ma,Thursday,707622.5500
Cedric Ma,Friday,1273720.5900
Cedric Ma,Saturday,636860.2950
Cedric Ma,Sunday,1061433.8250
Charles Sanders,Monday,19576541.8800
Charles Sanders,Tuesday,19343487.8100
Charles Sanders,Wednesday,13750190.1300
Charles Sanders,Thursday,11885757.5700
Charles Sanders,Friday,17712109.3200
Charles Sanders,Saturday,15847676.7600
Charles Sanders,Sunday,15614622.6900
Charles Watson,Monday,21641.3400
Charles Watson,Tuesday,21641.3400
Charles Watson,Wednesday,10820.6700
Charles Watson,Thursday,10820.6700
Charles Watson,Friday,10820.6700
Charles Watson,Saturday,32462.0100
Charles Watson,Sunday,32462.0100
Christian Garcia,Monday,21001228.8000
Christian Garcia,Tuesday,21310070.4000
Christian Garcia,Wednesday,21413017.6000
Christian Garcia,Thursday,18633443.2000
Christian Garcia,Friday,20280598.4000
Christian Garcia,Saturday,18633443.2000
Christian Garcia,Sunday,20486492.8000
Christian Hughes,Monday,2182444.8000
Christian Hughes,Tuesday,1091222.4000
Christian Hughes,Wednesday,2182444.8000
Christian Hughes,Thursday,3000861.6000
Christian Hughes,Friday,2182444.8000
Christian Hughes,Saturday,4092084.0000
Christian Hughes,Sunday,1091222.4000
Christy Andersen,Monday,2224664.2000
Christy Andersen,Tuesday,2426906.4000
Christy Andersen,Wednesday,1415695.4000
Christy Andersen,Thursday,1820179.8000
Christy Andersen,Friday,1415695.4000
Christy Andersen,Saturday,1415695.4000
Christy Andersen,Sunday,1415695.4000
Clarence Zeng,Monday,152888.8200
Clarence Zeng,Tuesday,174730.0800
Clarence Zeng,Wednesday,196571.3400
Clarence Zeng,Thursday,141968.1900
Clarence Zeng,Friday,131047.5600
Clarence Zeng,Saturday,185650.7100
Clarence Zeng,Sunday,218412.6000
Clayton Zeng,Monday,3582591.3900
Clayton Zeng,Tuesday,2856706.8600
Clayton Zeng,Wednesday,2997200.6400
Clayton Zeng,Thursday,3067447.5300
Clayton Zeng,Friday,3067447.5300
Clayton Zeng,Saturday,2716213.0800
Clayton Zeng,Sunday,2833291.2300
Cody Reed,Monday,12521.6000
Cody Reed,Wednesday,6260.8000
Cody Reed,Thursday,3130.4000
Cody Reed,Friday,9391.2000
Cody Reed,Saturday,6260.8000
Cody Reed,Sunday,15652.0000
Cole Cook,Monday,32716160.0000
Cole Cook,Tuesday,37269440.0000
Cole Cook,Wednesday,29512000.0000
Cole Cook,Thursday,31535680.0000
Cole Cook,Friday,34065280.0000
Cole Cook,Saturday,32547520.0000
Cole Cook,Sunday,34739840.0000
Colleen Nara,Monday,173518.8000
Colleen Nara,Wednesday,57839.6000
Colleen Nara,Thursday,115679.2000
Colleen Nara,Friday,115679.2000
Colleen Nara,Saturday,173518.8000
Colleen Nara,Sunday,115679.2000
Connor Edwards,Monday,196603.2000
Connor Edwards,Tuesday,240292.8000
Connor Edwards,Wednesday,65534.4000
Connor Edwards,Thursday,131068.8000
Connor Edwards,Friday,174758.4000
Connor Edwards,Saturday,218448.0000
Connor Edwards,Sunday,196603.2000
Cristina Xu,Monday,0.0000
Cristina Xu,Tuesday,0.0000
Cristina Xu,Wednesday,0.0000
Cristina Xu,Thursday,0.0000
Cristina Xu,Friday,0.0000
Cristina Xu,Saturday,0.0000
Cristina Xu,Sunday,0.0000
Dakota Russell,Monday,269817.6000
Dakota Russell,Tuesday,228307.2000
Dakota Russell,Wednesday,415104.0000
Dakota Russell,Thursday,394348.8000
Dakota Russell,Friday,290572.8000
Dakota Russell,Saturday,332083.2000
Dakota Russell,Sunday,269817.6000
Dale Holt,Monday,4211712.0000
Dale Holt,Tuesday,5966592.0000
Dale Holt,Wednesday,6317568.0000
Dale Holt,Thursday,4562688.0000
Dale Holt,Friday,6668544.0000
Dale Holt,Saturday,5966592.0000
Dale Holt,Sunday,4562688.0000
Danielle Cooper,Monday,337031.5000
Danielle Cooper,Tuesday,1348126.0000
Danielle Cooper,Wednesday,337031.5000
Danielle Cooper,Thursday,337031.5000
Danielle Cooper,Friday,1011094.5000
Danielle Cooper,Sunday,674063.0000
Danielle Sanders,Monday,4674787.2000
Danielle Sanders,Tuesday,4216046.4000
Danielle Sanders,Wednesday,4347115.2000
Danielle Sanders,Thursday,4368960.0000
Danielle Sanders,Friday,4150512.0000
Danielle Sanders,Saturday,4609252.8000
Danielle Sanders,Sunday,3910219.2000
Danny Vazquez,Monday,6445084.8000
Danny Vazquez,Tuesday,5859168.0000
Danny Vazquez,Wednesday,7616918.4000
Danny Vazquez,Thursday,5273251.2000
Danny Vazquez,Friday,4394376.0000
Danny Vazquez,Saturday,3808459.2000
Danny Vazquez,Sunday,3808459.2000
Dave Richards,Monday,197265.6000
Dave Richards,Tuesday,147949.2000
Dave Richards,Wednesday,197265.6000
Dave Richards,Thursday,180826.8000
Dave Richards,Friday,115071.6000
Dave Richards,Saturday,82194.0000
Dave Richards,Sunday,49316.4000
Deb Waldal,Monday,5735800.0000
Deb Waldal,Tuesday,6410600.0000
Deb Waldal,Wednesday,2699200.0000
Deb Waldal,Thursday,5061000.0000
Deb Waldal,Friday,5398400.0000
