"seller","average_income"
Mya Coleman,0
Mario Rai,0
Karen Huang,0
Tyrone Ruiz,0
Kaitlyn Allen,0
Richard Martinez,0
Kristen Li,0
Jacob Martinez,0
Krista Gill,0
Levi Gonzalez,0
Olivia Bennett,0
Jared Gray,0
Samuel Sharma,0
Cristina Xu,0
Willie Gao,0
Aaron Alexander,18
Andrew Hill,842
Madison Foster,842
Keith Lal,842
Richard Cooper,1951
Austin Zhang,1951
Whitney Sanchez,1951
Nicolas Raje,3130
Cody Reed,3130
Garrett Murphy,9144
Eduardo Walker,9144
Alexis Wilson,9144
Caleb Campbell,9159
Isabel Powell,9159
Julian Jenkins,9159
Sheena Chande,10602
Katherine Cook,10602
Charles Watson,10821
Bridget Chande,10821
Clarence Zeng,10921
Carlos Howard,10921
Blake Long,10921
Jonathan Hernandez,12564
Caitlin Howard,12564
Catherine Murphy,12564
Martin Patel,13773
Dave Richards,16439
Brandon Harris,16439
Kate Raje,16439
Steven Peterson,19496
Jessica Rodriguez,19496
Glenn Zeng,20755
Patrick Sanders,20755
Dakota Russell,20755
Tristan Butler,20894
Samuel Young,20894
Connor Edwards,21845
Danielle Sanders,21845
Lauren Cooper,21845
Morgan Hill,23416
Clayton Zeng,23416
Isabelle Henderson,23416
Timothy Sanders,24935
Jay Carlson,24935
Louis Hu,24935
Mackenzie Ramirez,24950
Kyle Young,24950
Kate Becker,24950
Donald Martinez,25088
Sean Green,25088
Levi Prasad,25088
Ethan Perry,25098
Mason Wright,25098
Seth Bennett,26106
Olivia Cox,26106
Shaun Andersen,26106
Randall Ruiz,26771
Angel Phillips,26771
María Flores,26771
Kristopher Martinez,33388
Alexis Hall,33388
Samuel Johnston,33388
Miguel Gonzalez,38556
Gerald Martinez,38556
Ethan Sharma,38556
Marissa price,39822
Noah Bryant,39822
Rodney Sanz,39822
Devin Nelson,41171
Nancy Buchanan,41171
Olivia Howard,41171
Robin Ortega,42224
Evelyn Perez,42224
Isabel Long,42224
Alison Lal,48051
Joe Gutierrez,48051
Jack Richins,48051
Hailey Coleman,49034
Spencer Bennett,49034
Victoria Powell,49034
Joseph White,50620
Eduardo Brown,50620
Alvin Zheng,50620
Eddie Gomez,54824
Caleb Li,54824
José Lopez,54824
Catherine Sanders,55436
Isabella Evans,55436
Richard Brown,55436
Latasha Suarez,55998
Tara Xie,55998
Colleen Nara,57840
Grant Andersen,57840
Cedric Ma,70762
Julie Luo,70762
Ryan Alexander,70762
Annette Hill,76941
Philip Gutierrez,76941
Randy Zhang,76941
Carla Gonzalez,77561
Henry Prasad,77561
Natalie Reed,78192
Raymond Madan,78192
Cassandra Madan,78572
Peter Black,78572
Tabitha Rodriguez,78572
Christian Garcia,102947
Angelica Alexander,102947
Michael John Troyer,102947
Kathleen Rubio,109678
Mayra Sanchez,109678
Abigail Flores,109678
Melanie Alexander,116172
Arianna Richardson,116172
Ryan Davis,116172
Hannah Jenkins,134368
Trisha Sun,134368
Alicia Chapman,134368
Adriana Vance,168640
Cole Cook,168640
Brad Nath,168640
Mackenzie Adams,194509
Kaitlyn Harris,194509
Jésus Munoz,194509
Micheal Vazquez,202242
Ann Gonzalez,202242
Christy Andersen,202242
Jenny Liang,210222
Noah Jones,210222
Marvin Gomez,210222
Michele Raji,233054
Charles Sanders,233054
Audrey Diaz,247182
Victoria Williams,247182
Melinda Jimenez,247182
Pablo Rovira Diez,251903
Amanda Bennett,251903
Hailey Rivera,261032
Arianna Bell,261032
Steven Watson,261032
